TrainSet,TestSet,Model,Seed,Experiment,TestAccuracy
D47,All,cobweb4v,456,1,0.7244
D48,All,cobweb4v,456,1,0.7333
D49,All,cobweb4v,456,1,0.739
D50,All,cobweb4v,456,1,0.7403
D51,All,cobweb4v,456,1,0.7434
D52,All,cobweb4v,456,1,0.7465
D53,All,cobweb4v,456,1,0.7451
D54,All,cobweb4v,456,1,0.7471
D55,All,cobweb4v,456,1,0.7463
D56,All,cobweb4v,456,1,0.745
D57,All,cobweb4v,456,1,0.7477
D58,All,cobweb4v,456,1,0.7466
D59,All,cobweb4v,456,1,0.7498
D60,All,cobweb4v,456,1,0.7529
D61,All,cobweb4v,456,1,0.7559
D62,All,cobweb4v,456,1,0.7567
D63,All,cobweb4v,456,1,0.7583
D64,All,cobweb4v,456,1,0.7649
D65,All,cobweb4v,456,1,0.7643
D66,All,cobweb4v,456,1,0.7723
D67,All,cobweb4v,456,1,0.7706
D68,All,cobweb4v,456,1,0.775
D69,All,cobweb4v,456,1,0.7768
D70,All,cobweb4v,456,1,0.782
D71,All,cobweb4v,456,1,0.7825
D72,All,cobweb4v,456,1,0.7817
D73,All,cobweb4v,456,1,0.783
D74,All,cobweb4v,456,1,0.7858
D75,All,cobweb4v,456,1,0.7845
D76,All,cobweb4v,456,1,0.7818
D77,All,cobweb4v,456,1,0.782
D78,All,cobweb4v,456,1,0.785
D79,All,cobweb4v,456,1,0.7877
D80,All,cobweb4v,456,1,0.7872
D81,All,cobweb4v,456,1,0.7846
D82,All,cobweb4v,456,1,0.784
D83,All,cobweb4v,456,1,0.7848
D84,All,cobweb4v,456,1,0.7865
D85,All,cobweb4v,456,1,0.7886
D86,All,cobweb4v,456,1,0.7914
D87,All,cobweb4v,456,1,0.7924
D88,All,cobweb4v,456,1,0.792
D89,All,cobweb4v,456,1,0.7907
D90,All,cobweb4v,456,1,0.7915
D91,All,cobweb4v,456,1,0.7925
D92,All,cobweb4v,456,1,0.7928
D93,All,cobweb4v,456,1,0.7944
D94,All,cobweb4v,456,1,0.7956
D95,All,cobweb4v,456,1,0.7988
D96,All,cobweb4v,456,1,0.7988
D97,All,cobweb4v,456,1,0.7985
D98,All,cobweb4v,456,1,0.7994
D99,All,cobweb4v,456,1,0.8034
D100,All,cobweb4v,456,1,0.8053
D1,All,cobweb4v,250,1,0.1189
D2,All,cobweb4v,250,1,0.2631
D3,All,cobweb4v,250,1,0.3617
D4,All,cobweb4v,250,1,0.3408
D5,All,cobweb4v,250,1,0.3934
D6,All,cobweb4v,250,1,0.4143
D7,All,cobweb4v,250,1,0.4369
D8,All,cobweb4v,250,1,0.4483
D9,All,cobweb4v,250,1,0.4589
D10,All,cobweb4v,250,1,0.4725
D11,All,cobweb4v,250,1,0.5125
D12,All,cobweb4v,250,1,0.5198
D13,All,cobweb4v,250,1,0.5436
D14,All,cobweb4v,250,1,0.5705
D15,All,cobweb4v,250,1,0.5757
D16,All,cobweb4v,250,1,0.5831
D17,All,cobweb4v,250,1,0.5971
D18,All,cobweb4v,250,1,0.6166
D19,All,cobweb4v,250,1,0.6093
D20,All,cobweb4v,250,1,0.6291
D21,All,cobweb4v,250,1,0.6282
D22,All,cobweb4v,250,1,0.6378
D23,All,cobweb4v,250,1,0.6486
D24,All,cobweb4v,250,1,0.6599
D25,All,cobweb4v,250,1,0.6709
D26,All,cobweb4v,250,1,0.6773
D27,All,cobweb4v,250,1,0.6882
D28,All,cobweb4v,250,1,0.6908
D29,All,cobweb4v,250,1,0.6878
D30,All,cobweb4v,250,1,0.6913
D31,All,cobweb4v,250,1,0.6962
D32,All,cobweb4v,250,1,0.6961
D33,All,cobweb4v,250,1,0.707
D34,All,cobweb4v,250,1,0.7074
