TrainSet,TestSet,Model,Seed,Experiment,TestAccuracy
D10,L0,fc-replay,123,2,0.087548636
D1,L0,fc-cnn-replay,550,2,0.991245151
D2,L0,fc-cnn-replay,550,2,0.960116744
D3,L0,fc-cnn-replay,550,2,0.922178984
D4,L0,fc-cnn-replay,550,2,0.802529156
D5,L0,fc-cnn-replay,550,2,0.545719862
D6,L0,fc-cnn-replay,550,2,0.292801559
D7,L0,fc-cnn-replay,550,2,0.053501945
D8,L0,fc-cnn-replay,550,2,0.170233458
D9,L0,fc-cnn-replay,550,2,0.119649805
D10,L0,fc-cnn-replay,550,2,0.092412449
D1,L0,fc-cnn-replay,456,2,0.996945024
D2,L0,fc-cnn-replay,456,2,0.964358449
D3,L0,fc-cnn-replay,456,2,0.962321818
D4,L0,fc-cnn-replay,456,2,0.819755614
D5,L0,fc-cnn-replay,456,2,0.392057031
D6,L0,fc-cnn-replay,456,2,0.462321788
D7,L0,fc-cnn-replay,456,2,0.372708768
D8,L0,fc-cnn-replay,456,2,0.274949074
D9,L0,fc-cnn-replay,456,2,0.314663947
D10,L0,fc-cnn-replay,456,2,0.125254586
D1,L0,fc-cnn-replay,250,2,0.984435797
D2,L0,fc-cnn-replay,250,2,0.964007795
D3,L0,fc-cnn-replay,250,2,0.898832679
D4,L0,fc-cnn-replay,250,2,0.865758777
D5,L0,fc-cnn-replay,250,2,0.405642033
D6,L0,fc-cnn-replay,250,2,0.473735422
D7,L0,fc-cnn-replay,250,2,0.260700375
D8,L0,fc-cnn-replay,250,2,0.205252916
D9,L0,fc-cnn-replay,250,2,0.202334628
D10,L0,fc-cnn-replay,250,2,0.044747081
D1,L0,fc-cnn-replay,789,2,0.98879838
D2,L0,fc-cnn-replay,789,2,0.962321818
D3,L0,fc-cnn-replay,789,2,0.909368634
D4,L0,fc-cnn-replay,789,2,0.740325868
D5,L0,fc-cnn-replay,789,2,0.738289177
D6,L0,fc-cnn-replay,789,2,0.517311633
D7,L0,fc-cnn-replay,789,2,0.407331973
D8,L0,fc-cnn-replay,789,2,0.590631366
D9,L0,fc-cnn-replay,789,2,0.508146644
D10,L0,fc-cnn-replay,789,2,0.327902228
D1,L0,fc-replay,123,2,0.97741276
D2,L0,fc-replay,123,2,0.878850102
D3,L0,fc-replay,123,2,0.768993855
D4,L0,fc-replay,123,2,0.374743313
D5,L0,fc-replay,123,2,0.057494868
D6,L0,fc-replay,123,2,0.045174539
D7,L0,fc-replay,123,2,0.001026694
D8,L0,fc-replay,123,2,0.009240246
D9,L0,fc-replay,123,2,0.006160164
D10,L0,fc-replay,123,2,0.004106776
D1,L0,fc-replay,456,2,0.979207933
D2,L0,fc-replay,456,2,0.853465319
D3,L0,fc-replay,456,2,0.677227736
D4,L0,fc-replay,456,2,0.5
D5,L0,fc-replay,456,2,0.300000012
D6,L0,fc-replay,456,2,0.167326733
D7,L0,fc-replay,456,2,0.109900989
D8,L0,fc-replay,456,2,0.084158413
D9,L0,fc-replay,456,2,0.085148513
D10,L0,fc-replay,456,2,0.036633663
D1,L0,fc-replay,450,2,0.965246618
D2,L0,fc-replay,450,2,0.901345313
D3,L0,fc-replay,450,2,0.727578461
D4,L0,fc-replay,450,2,0.489910305
D5,L0,fc-replay,450,2,0.201793715
D6,L0,fc-replay,450,2,0.125560537
D7,L0,fc-replay,450,2,0.110986546
D8,L0,fc-replay,450,2,0.041479822
D9,L0,fc-replay,450,2,0.044843048
D10,L0,fc-replay,450,2,0.07399103
D1,L0,fc-replay,550,2,0.993832588
D2,L0,fc-replay,550,2,0.959471345
D3,L0,fc-replay,550,2,0.931277514
D4,L0,fc-replay,550,2,0.733039677
D5,L0,fc-replay,550,2,0.575330377
D6,L0,fc-replay,550,2,0.507488966
D7,L0,fc-replay,550,2,0.446696043
D8,L0,fc-replay,550,2,0.164757714
D9,L0,fc-replay,550,2,0.155066073
D10,L0,fc-replay,550,2,0.101321585
D1,L0,fc-cnn-replay,123,2,0.996475756
D2,L0,fc-cnn-replay,123,2,0.996475756
D3,L0,fc-cnn-replay,123,2,0.903083682
D4,L0,fc-cnn-replay,123,2,0.881938338
D5,L0,fc-cnn-replay,123,2,0.847577095
D6,L0,fc-cnn-replay,123,2,0.680176198
D7,L0,fc-cnn-replay,123,2,0.415859044
D8,L0,fc-cnn-replay,123,2,0.492511004
D9,L0,fc-cnn-replay,123,2,0.383259922
D10,L0,fc-cnn-replay,123,2,0.099559471
D1,L0,fc-replay,50,2,0.969276488
D2,L0,fc-replay,50,2,0.897918761
D3,L0,fc-replay,50,2,0.745292366
D4,L0,fc-replay,50,2,0.258671939
D5,L0,fc-replay,50,2,0.012884043
D6,L0,fc-replay,50,2,0.001982161
D7,L0,fc-replay,50,2,0
D8,L0,fc-replay,50,2,0
D9,L0,fc-replay,50,2,0
D10,L0,fc-replay,50,2,0
D1,L0,fc-replay,150,2,0.984158397
D2,L0,fc-replay,150,2,0.88316834
D3,L0,fc-replay,150,2,0.787128687
D4,L0,fc-replay,150,2,0.515841603
D5,L0,fc-replay,150,2,0.192079201
D6,L0,fc-replay,150,2,0.051485147
D7,L0,fc-replay,150,2,0.052475248
D8,L0,fc-replay,150,2,0.056435645
D9,L0,fc-replay,150,2,0.059405942
D10,L0,fc-replay,150,2,0.023762377
D1,L0,fc-replay,350,2,0.976457417
D2,L0,fc-replay,350,2,0.845291495
D3,L0,fc-replay,350,2,0.732062757
D4,L0,fc-replay,350,2,0.504484296
D5,L0,fc-replay,350,2,0.217488796
D6,L0,fc-replay,350,2,0.135650218
D7,L0,fc-replay,350,2,0.067264572
D8,L0,fc-replay,350,2,0.066143498
D9,L0,fc-replay,350,2,0.049327355
D10,L0,fc-replay,350,2,0.076233186
D1,L0,fc-replay,250,2,0.99559474
D2,L0,fc-replay,250,2,0.976211429
D3,L0,fc-replay,250,2,0.955947161
D4,L0,fc-replay,250,2,0.825550675
D5,L0,fc-replay,250,2,0.701321602
D6,L0,fc-replay,250,2,0.504845798
D7,L0,fc-replay,250,2,0.423788548
D8,L0,fc-replay,250,2,0.222907484
D9,L0,fc-replay,250,2,0.256387651
D10,L0,fc-replay,250,2,0.320704848
D1,L0,fc-replay,50,2,0.982178211
D2,L0,fc-replay,50,2,0.888118804
D3,L0,fc-replay,50,2,0.732673287
D4,L0,fc-replay,50,2,0.6277228
D5,L0,fc-replay,50,2,0.276237637
D6,L0,fc-replay,50,2,0.245544553
D7,L0,fc-replay,50,2,0.105940595
D8,L0,fc-replay,50,2,0.054455444
D9,L0,fc-replay,50,2,0.064356439
D10,L0,fc-replay,50,2,0.065346532
D1,L0,fc-cnn-replay,450,2,0.996124029
D2,L0,fc-cnn-replay,450,2,0.972868204
D3,L0,fc-cnn-replay,450,2,0.916666687
D4,L0,fc-cnn-replay,450,2,0.642441869
D5,L0,fc-cnn-replay,450,2,0.387596905
D6,L0,fc-cnn-replay,450,2,0.199612409
D7,L0,fc-cnn-replay,450,2,0.273255825
D8,L0,fc-cnn-replay,450,2,0.101744182
D9,L0,fc-cnn-replay,450,2,0.093992248
D10,L0,fc-cnn-replay,450,2,0.15891473
D1,L0,fc-cnn-replay,150,2,0.991853356
D2,L0,fc-cnn-replay,150,2,0.978615046
D3,L0,fc-cnn-replay,150,2,0.929735243
D4,L0,fc-cnn-replay,150,2,0.796334028
D5,L0,fc-cnn-replay,150,2,0.613034606
D6,L0,fc-cnn-replay,150,2,0.596741319
D7,L0,fc-cnn-replay,150,2,0.371690422
D8,L0,fc-cnn-replay,150,2,0.337067217
D9,L0,fc-cnn-replay,150,2,0.382892042
D10,L0,fc-cnn-replay,150,2,0.454175144
D1,L0,fc-cnn-replay,350,2,0.98934108
D2,L0,fc-cnn-replay,350,2,0.933139563
D3,L0,fc-cnn-replay,350,2,0.914728701
D4,L0,fc-cnn-replay,350,2,0.694767416
D5,L0,fc-cnn-replay,350,2,0.305232555
D6,L0,fc-cnn-replay,350,2,0.262596905
D7,L0,fc-cnn-replay,350,2,0.181201547
D8,L0,fc-cnn-replay,350,2,0.172480613
D9,L0,fc-cnn-replay,350,2,0.171511635
D10,L0,fc-cnn-replay,350,2,0.152131781
D1,L0,fc-cnn-replay,250,2,0.99383986
D2,L0,fc-cnn-replay,250,2,0.944558501
D3,L0,fc-cnn-replay,250,2,0.889117062
D4,L0,fc-cnn-replay,250,2,0.783367574
D5,L0,fc-cnn-replay,250,2,0.573921978
D6,L0,fc-cnn-replay,250,2,0.418891162
D7,L0,fc-cnn-replay,250,2,0.359342903
D8,L0,fc-cnn-replay,250,2,0.347022593
D9,L0,fc-cnn-replay,250,2,0.411704302
D10,L0,fc-cnn-replay,250,2,0.275153995
D1,L0,fc-cnn-replay,550,2,0.99281317
D2,L0,fc-cnn-replay,550,2,0.976386011
D3,L0,fc-cnn-replay,550,2,0.818275154
D4,L0,fc-cnn-replay,550,2,0.824435294
D5,L0,fc-cnn-replay,550,2,0.624229968
D6,L0,fc-cnn-replay,550,2,0.52053386
D7,L0,fc-cnn-replay,550,2,0.49075976
D8,L0,fc-cnn-replay,550,2,0.359342903
D9,L0,fc-cnn-replay,550,2,0.369609863
D10,L0,fc-cnn-replay,550,2,0.189938396
D1,L0,fc-replay,0,2,0.967145801
D2,L0,fc-replay,0,2,0.888090372
D3,L0,fc-replay,0,2,0.658110857
D4,L0,fc-replay,0,2,0.275153995
D5,L0,fc-replay,0,2,0.05544148
D6,L0,fc-replay,0,2,0.004106776
D7,L0,fc-replay,0,2,0.00513347
D8,L0,fc-replay,0,2,0.00513347
D9,L0,fc-replay,0,2,0.001026694
D10,L0,fc-replay,0,2,0
D1,L0,fc-cnn-replay,123,2,1
D2,L0,fc-cnn-replay,123,2,0.984725058
D3,L0,fc-cnn-replay,123,2,0.946028531
D4,L0,fc-cnn-replay,123,2,0.859470487
D5,L0,fc-cnn-replay,123,2,0.633401215
D6,L0,fc-cnn-replay,123,2,0.431771904
D7,L0,fc-cnn-replay,123,2,0.375763744
D8,L0,fc-cnn-replay,123,2,0.243380859
D9,L0,fc-cnn-replay,123,2,0.263747454
D10,L0,fc-cnn-replay,123,2,0.076374747
D1,L0,fc-replay,50,2,0.97759676
D2,L0,fc-replay,50,2,0.853360474
D3,L0,fc-replay,50,2,0.706720948
D4,L0,fc-replay,50,2,0.369653761
D5,L0,fc-replay,50,2,0.170061097
D6,L0,fc-replay,50,2,0.131364569
D7,L0,fc-replay,50,2,0.084521383
D8,L0,fc-replay,50,2,0.048879836
D9,L0,fc-replay,50,2,0.022403259
D10,L0,fc-replay,50,2,0.037678208
D1,L0,fc-replay,456,2,0.975680947
D2,L0,fc-replay,456,2,0.898832679
D3,L0,fc-replay,456,2,0.806420207
D4,L0,fc-replay,456,2,0.707198441
D5,L0,fc-replay,456,2,0.319066137
D6,L0,fc-replay,456,2,0.159533069
D7,L0,fc-replay,456,2,0.068093382
D8,L0,fc-replay,456,2,0.064202331
D9,L0,fc-replay,456,2,0.075875483
D10,L0,fc-replay,456,2,0.056420233
D1,L0,fc-replay,789,2,0.966119111
D2,L0,fc-replay,789,2,0.882956862
D3,L0,fc-replay,789,2,0.705338836
D4,L0,fc-replay,789,2,0.429158121
D5,L0,fc-replay,789,2,0.015400411
D6,L0,fc-replay,789,2,0.008213553
D7,L0,fc-replay,789,2,0.002053388
D8,L0,fc-replay,789,2,0.001026694
D9,L0,fc-replay,789,2,0.002053388
D10,L0,fc-replay,789,2,0
D1,L0,fc-cnn-replay,50,2,0.982062757
D2,L0,fc-cnn-replay,50,2,0.945067286
D3,L0,fc-cnn-replay,50,2,0.938340783
D4,L0,fc-cnn-replay,50,2,0.826233208
D5,L0,fc-cnn-replay,50,2,0.642376661
D6,L0,fc-cnn-replay,50,2,0.566143513
D7,L0,fc-cnn-replay,50,2,0.519058287
D8,L0,fc-cnn-replay,50,2,0.551569521
D9,L0,fc-cnn-replay,50,2,0.478699565
D10,L0,fc-cnn-replay,50,2,0.297085196
D1,L0,fc-replay,0,2,0.991836727
D2,L0,fc-replay,0,2,0.983673453
D3,L0,fc-replay,0,2,0.892857134
D4,L0,fc-replay,0,2,0.77448982
D5,L0,fc-replay,0,2,0.574489772
D6,L0,fc-replay,0,2,0.390816331
D7,L0,fc-replay,0,2,0.308163255
D8,L0,fc-replay,0,2,0.372448981
D9,L0,fc-replay,0,2,0.355102032
D10,L0,fc-replay,0,2,0.195918366
D1,L0,fc-replay,789,2,0.961089492
D2,L0,fc-replay,789,2,0.897859931
D3,L0,fc-replay,789,2,0.725680947
D4,L0,fc-replay,789,2,0.603112817
D5,L0,fc-replay,789,2,0.378404677
D6,L0,fc-replay,789,2,0.208171204
D7,L0,fc-replay,789,2,0.141050577
D8,L0,fc-replay,789,2,0.064202331
D9,L0,fc-replay,789,2,0.035019454
D10,L0,fc-replay,789,2,0.002918288
D1,L0,fc-replay,456,2,0.97843945
D2,L0,fc-replay,456,2,0.868583143
D3,L0,fc-replay,456,2,0.643737137
D4,L0,fc-replay,456,2,0.227926075
D5,L0,fc-replay,456,2,0.047227927
D6,L0,fc-replay,456,2,0.013347022
D7,L0,fc-replay,456,2,0.007186858
D8,L0,fc-replay,456,2,0
D9,L0,fc-replay,456,2,0.003080082
D10,L0,fc-replay,456,2,0.002053388
D1,L0,fc-cnn-replay,50,2,0.973240852
D2,L0,fc-cnn-replay,50,2,0.952428162
D3,L0,fc-cnn-replay,50,2,0.875123858
D4,L0,fc-cnn-replay,50,2,0.768087208
D5,L0,fc-cnn-replay,50,2,0.469772041
D6,L0,fc-cnn-replay,50,2,0.287413269
D7,L0,fc-cnn-replay,50,2,0.141724482
D8,L0,fc-cnn-replay,50,2,0.174430132
D9,L0,fc-cnn-replay,50,2,0.012884043
D10,L0,fc-cnn-replay,50,2,0.002973241
D1,L0,fc-cnn-replay,0,2,0.995926678
D2,L0,fc-cnn-replay,0,2,0.962321818
D3,L0,fc-cnn-replay,0,2,0.920570254
D4,L0,fc-cnn-replay,0,2,0.856415451
D5,L0,fc-cnn-replay,0,2,0.548879862
D6,L0,fc-cnn-replay,0,2,0.175152749
D7,L0,fc-cnn-replay,0,2,0.294297338
D8,L0,fc-cnn-replay,0,2,0.259674132
D9,L0,fc-cnn-replay,0,2,0.135437876
D10,L0,fc-cnn-replay,0,2,0.30040732
D1,L0,fc-cnn-replay,350,2,0.991245151
D2,L0,fc-cnn-replay,350,2,0.954280138
D3,L0,fc-cnn-replay,350,2,0.799610913
D4,L0,fc-cnn-replay,350,2,0.814202309
D5,L0,fc-cnn-replay,350,2,0.691634238
D6,L0,fc-cnn-replay,350,2,0.237354085
D7,L0,fc-cnn-replay,350,2,0.297665358
D8,L0,fc-cnn-replay,350,2,0.413424134
D9,L0,fc-cnn-replay,350,2,0.313229561
D10,L0,fc-cnn-replay,350,2,0.191634238
D1,L0,fc-cnn-replay,450,2,0.992217898
D2,L0,fc-cnn-replay,450,2,0.964980543
D3,L0,fc-cnn-replay,450,2,0.806420207
D4,L0,fc-cnn-replay,450,2,0.821011662
D5,L0,fc-cnn-replay,450,2,0.609922171
D6,L0,fc-cnn-replay,450,2,0.515564203
D7,L0,fc-cnn-replay,450,2,0.366731524
D8,L0,fc-cnn-replay,450,2,0.277237356
D9,L0,fc-cnn-replay,450,2,0.220817119
D10,L0,fc-cnn-replay,450,2,0.157587543
D1,L0,fc-replay,123,2,0.981188118
D2,L0,fc-replay,123,2,0.871287107
D3,L0,fc-replay,123,2,0.699999988
D4,L0,fc-replay,123,2,0.46732673
D5,L0,fc-replay,123,2,0.180198014
D6,L0,fc-replay,123,2,0.094059408
D7,L0,fc-replay,123,2,0.08217822
D8,L0,fc-replay,123,2,0.045544554
D9,L0,fc-replay,123,2,0.035643563
D10,L0,fc-replay,123,2,0.00990099
D1,L0,fc-cnn-replay,150,2,0.989427328
D2,L0,fc-cnn-replay,150,2,0.985903084
D3,L0,fc-cnn-replay,150,2,0.944493413
D4,L0,fc-cnn-replay,150,2,0.907489002
D5,L0,fc-cnn-replay,150,2,0.834361255
D6,L0,fc-cnn-replay,150,2,0.581497788
D7,L0,fc-cnn-replay,150,2,0.235242292
D8,L0,fc-cnn-replay,150,2,0.335682809
D9,L0,fc-cnn-replay,150,2,0.184140965
D10,L0,fc-cnn-replay,150,2,0.086343609
D1,L0,fc-cnn-replay,0,2,0.99118942
D2,L0,fc-cnn-replay,0,2,0.988546252
D3,L0,fc-cnn-replay,0,2,0.970925093
D4,L0,fc-cnn-replay,0,2,0.952422917
D5,L0,fc-cnn-replay,0,2,0.867841423
D6,L0,fc-cnn-replay,0,2,0.675770938
D7,L0,fc-cnn-replay,0,2,0.401762128
D8,L0,fc-cnn-replay,0,2,0.425550669
D9,L0,fc-cnn-replay,0,2,0.436123341
D10,L0,fc-cnn-replay,0,2,0.496035248
D1,L0,fc-replay,0,2,0.980167031
D2,L0,fc-replay,0,2,0.939457178
D3,L0,fc-replay,0,2,0.828810036
D4,L0,fc-replay,0,2,0.609603345
D5,L0,fc-replay,0,2,0.281837165
D6,L0,fc-replay,0,2,0.087682672
D7,L0,fc-replay,0,2,0.052192066
D8,L0,fc-replay,0,2,0.045929018
D9,L0,fc-replay,0,2,0.021920668
D10,L0,fc-replay,0,2,0.015657621
D1,L0,fc-cnn-replay,550,2,0.989561558
D2,L0,fc-cnn-replay,550,2,0.975991666
D3,L0,fc-cnn-replay,550,2,0.934238017
D4,L0,fc-cnn-replay,550,2,0.883089781
D5,L0,fc-cnn-replay,550,2,0.752609611
D6,L0,fc-cnn-replay,550,2,0.66388309
D7,L0,fc-cnn-replay,550,2,0.598121107
D8,L0,fc-cnn-replay,550,2,0.401878923
D9,L0,fc-cnn-replay,550,2,0.303757817
D10,L0,fc-cnn-replay,550,2,0.303757817
D1,L0,fc-cnn-replay,456,2,0.996636748
D2,L0,fc-cnn-replay,456,2,0.970852017
D3,L0,fc-cnn-replay,456,2,0.87219733
D4,L0,fc-cnn-replay,456,2,0.834080696
D5,L0,fc-cnn-replay,456,2,0.610986531
D6,L0,fc-cnn-replay,456,2,0.437219739
D7,L0,fc-cnn-replay,456,2,0.554932714
D8,L0,fc-cnn-replay,456,2,0.241031393
D9,L0,fc-cnn-replay,456,2,0.262331843
D10,L0,fc-cnn-replay,456,2,0.223094165
D1,L0,fc-replay,456,2,0.984725058
D2,L0,fc-replay,456,2,0.942973495
D3,L0,fc-replay,456,2,0.749490857
D4,L0,fc-replay,456,2,0.319755614
D5,L0,fc-replay,456,2,0.067209773
D6,L0,fc-replay,456,2,0.018329939
D7,L0,fc-replay,456,2,0.027494909
D8,L0,fc-replay,456,2,0.014256619
D9,L0,fc-replay,456,2,0.011201629
D10,L0,fc-replay,456,2,0.007128309
D1,L0,fc-cnn-replay,250,2,0.986430049
D2,L0,fc-cnn-replay,250,2,0.96659708
